Frequency(Hz)	ApparentResistivity(Ohm.m)	Phase(deg)
1.000000000000000021e-03 9.340784027636321980e+02 3.945393814866230286e+01
1.340518238791474186e-03 8.596491065861828247e+02 4.043863871705153912e+01
1.796989148532593915e-03 9.092318651730004149e+02 4.171984077946243730e+01
2.408896728518303623e-03 9.654156161716150564e+02 4.279804530499153259e+01
3.229169999943896831e-03 7.900341426592696052e+02 3.814235535290575285e+01
4.328761281083057418e-03 7.639859248288601066e+02 3.824159611760589428e+01
5.802783448666185527e-03 8.788869717425685621e+02 3.500909730891392968e+01
7.778737048694302908e-03 7.798238741309837678e+02 3.372350145843742553e+01
1.042753888853767755e-02 6.550828288287913210e+02 3.838835754507216791e+01
1.397830606579212459e-02 6.863823337245698895e+02 3.867945180053454379e+01
1.873817422860383011e-02 5.793039902097499407e+02 3.350069912588670462e+01
2.511886431509579437e-02 5.395334469720859261e+02 3.538302144611972722e+01
3.367229575211420911e-02 5.319921221045299262e+02 3.212801078951699907e+01
4.513832659768975131e-02 3.873576641424404556e+02 2.767263882799712249e+01
6.050875007272941974e-02 3.561542934950561516e+02 2.942982430313351472e+01
8.111308307896868131e-02 3.612311527254389034e+02 3.140115740936129285e+01
1.087335672719655644e-01 3.018150971105222879e+02 2.538145499630228130e+01
1.457593300969295680e-01 3.026890856944868347e+02 2.857934885893653032e+01
1.953930404689609157e-01 2.331824651392962551e+02 1.516699594926487826e+01
2.619279344815627075e-01 1.851542182899925706e+02 2.449073553346602594e+01
3.511191734215127203e-01 2.078301890330870094e+02 2.140540161222177673e+01
4.706816559609244277e-01 1.474580524276679228e+02 1.982745229768103812e+01
6.309573444801930275e-01 1.260272000551277074e+02 2.086519691075912775e+01
8.458098281751329495e-01 9.023709252747863729e+01 1.488872052912272714e+01
1.133823501217848584e+00 8.078495521303392479e+01 2.133304287084660800e+01
1.519911082952933201e+00 7.152232804601780458e+01 2.468687550210800552e+01
2.037468528039706239e+00 5.291608705056741968e+01 3.065711007640753394e+01
2.731263722800843841e+00 5.254409816320597315e+01 2.810784975710923561e+01
3.661308835364032621e+00 4.206903735883188489e+01 3.143990324422028593e+01
4.908051271653850911e+00 4.003514683329670731e+01 3.733235459851034932e+01
6.579332246575675391e+00 3.792462147665749228e+01 4.680060003077429087e+01
8.819714875603569482e+00 4.981558432721670471e+01 5.009570329386191645e+01
1.182298865168706214e+01 4.572251674469443827e+01 5.212211431774171189e+01
1.584893192461110978e+01 4.700206904044345890e+01 5.842038301530857325e+01
2.124578231030567466e+01 6.654331245993704158e+01 5.892794825674789649e+01
2.848035868435799145e+01 6.388921332763190719e+01 6.193210958824152357e+01
3.817844026370499932e+01 8.572274688743087268e+01 5.600713596023025076e+01
5.117889550210738037e+01 7.694955426612523297e+01 5.503009286418438251e+01
6.860624286177781528e+01 8.972135797915424860e+01 5.245309491564968596e+01
9.196791985117044987e+01 1.109597103461319847e+02 4.701460060174679967e+01
1.232846739442063324e+02 1.189619248664386504e+02 4.965923819192386190e+01
1.652653539856687814e+02 1.122849861846215020e+02 4.761292941540385470e+01
2.215412212581180427e+02 1.068538297966232733e+02 4.543211428988370670e+01
2.969800477406444088e+02 1.017767101472490765e+02 4.392117065616498195e+01
3.981071705534969283e+02 8.798078309800115449e+01 4.002104815303162866e+01
5.336699231206301874e+02 9.315146742741492858e+01 4.330907790989813577e+01
7.153942654376478458e+02 9.507043607269272911e+01 4.381764998986599124e+01
9.589990607459969851e+02 1.106543722424346043e+02 4.280600013643891089e+01
1.285555731913900445e+03 1.033873203025811307e+02 4.457203841872779293e+01
1.723310905613504701e+03 8.320026906260416411e+01 4.627979143987242594e+01
2.310129700083158241e+03 1.041677657356767810e+02 5.030178461055264449e+01
3.096770996935348194e+03 9.619372646383409631e+01 4.550924442744631193e+01
4.151278002752286739e+03 9.336153663729972152e+01 4.576365785586023094e+01
5.564863876983288719e+03 1.062117229252609860e+02 4.479307055003219062e+01
7.459801523487925806e+03 1.114961566780878002e+02 3.978702840473086866e+01
1.000000000000000000e+04 1.095297973967437883e+02 4.492742295229580662e+01
